Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-04-14,Back & Triceps✝️,43m,Lat Pulldown - Wide Grip (Cable),F,150.0,7.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-14,Back & Triceps✝️,43m,Single Arm Tricep Extension (Cable),F,35.0,7.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Single Arm Tricep Extension (Cable),F,30.0,8.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Kelso Shrug (Machine),F,145.0,7.0,"2x6-8(F), 3 mins",10.0
2026-04-14,Back & Triceps✝️,43m,Kelso Shrug (Machine),F,145.0,6.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Tricep Press (Machine),F,230.0,6.0,"2x6-8(F), 3 mins",10.0
2026-04-14,Back & Triceps✝️,43m,Tricep Press (Machine),F,220.0,6.0,,10.0
2026-04-14,Back & Triceps✝️,43m,Arsenal Strength Reloaded Iso Multi Row,F,165.0,7.0,1x6-8(F),10.0
2026-04-15,Legs 🐓 ,57m,Romanian Deadlift (Barbell),W,95.0,10.0,1x6-8(F),
2026-04-15,Legs 🐓 ,57m,Romanian Deadlift (Barbell),W,135.0,6.0,,
2026-04-15,Legs 🐓 ,57m,Romanian Deadlift (Barbell),F,235.0,7.0,,10.0
2026-04-15,Legs 🐓 ,57m,Pendulum Squat (Machine),W,110.0,10.0,"1x6-8(F), 4 mins",
2026-04-15,Legs 🐓 ,57m,Pendulum Squat (Machine),W,160.0,6.0,,
2026-04-15,Legs 🐓 ,57m,Pendulum Squat (Machine),F,220.0,7.0,,10.0
2026-04-15,Legs 🐓 ,57m,Hip Adductor (Machine),F,105.0,7.0,1x8-10(F),10.0
2026-04-15,Legs 🐓 ,57m,Standing Calf Raise (Machine),F,280.0,10.0,"2x8-10(F), 3 mins",10.0
2026-04-15,Legs 🐓 ,57m,Standing Calf Raise (Machine),F,285.0,5.0,,10.0
2026-04-15,Legs 🐓 ,57m,Single-Leg Leg Extension (Machine),F,110.0,7.0,"2x6-8(F), 3 mins",10.0
2026-04-15,Legs 🐓 ,57m,Single-Leg Leg Extension (Machine),F,100.0,6.0,,10.0
2026-04-16,Shoulders🪨,42m,Cable Crunch,F,75.0,10.0,"3x8-10, 3 mins",10.0
2026-04-16,Shoulders🪨,42m,Cable Crunch,F,80.0,7.0,,10.0
2026-04-16,Shoulders🪨,42m,Arsenal Strength Shoulder Press (Machine),W,18.0,10.0,"2x6-8(F), 3 mins",
2026-04-16,Shoulders🪨,42m,Arsenal Strength Shoulder Press (Machine),W,43.0,8.0,,
2026-04-16,Shoulders🪨,42m,Arsenal Strength Shoulder Press (Machine),F,113.0,5.0,,10.0
2026-04-16,Shoulders🪨,42m,Arsenal Strength Shoulder Press (Machine),F,108.0,6.0,,10.0
2026-04-16,Shoulders🪨,42m,Arsenal Strength Lateral Raise (Machine),F,85.0,8.0,"2x8-10(F), 3 mins",10.0
2026-04-16,Shoulders🪨,42m,Arsenal Strength Lateral Raise (Machine),F,85.0,8.0,,10.0
2026-04-16,Shoulders🪨,42m,Rear Delt Fly (Cable),F,22.5,9.0,"2x8-10(F), 3 mins",10.0
2026-04-18,Chest & Biceps🃏,43m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-18,Chest & Biceps🃏,43m,Single Arm Preacher Curl (Machine),F,75.0,8.0,,10.0
2026-04-18,Chest & Biceps🃏,43m,Single Arm Preacher Curl (Machine),F,77.5,4.0,,10.0
2026-04-18,Chest & Biceps🃏,43m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-04-18,Chest & Biceps🃏,43m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-04-18,Chest & Biceps🃏,43m,Incline Bench Press (Smith Machine),F,170.0,6.0,,10.0
2026-04-18,Chest & Biceps🃏,43m,Incline Bench Press (Smith Machine),F,160.0,6.0,,10.0
2026-04-18,Chest & Biceps🃏,43m,Forearm Curl (Cable),F,70.0,9.0,"2x6-8(F), 3 mins",10.0
2026-04-18,Chest & Biceps🃏,43m,Forearm Curl (Cable),F,75.0,6.0,,10.0
2026-04-18,Chest & Biceps🃏,43m,Arsenal Strength Chest Fly (Machine),F,250.0,10.0,"2x8-10(F), 3 mins",10.0
2026-04-18,Chest & Biceps🃏,43m,Arsenal Strength Chest Fly (Machine),F,260.0,3.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-04-19,Back & Triceps✝️,52m,Lat Pulldown - Wide Grip (Cable),F,170.0,7.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Lat Pulldown - Wide Grip (Cable),F,145.0,7.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-04-19,Back & Triceps✝️,52m,Single Arm Tricep Extension (Cable),F,35.0,7.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Single Arm Tricep Extension (Cable),F,30.0,9.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Kelso Shrug (Machine),F,145.0,9.0,"2x6-8(F), 3 mins",10.0
2026-04-19,Back & Triceps✝️,52m,Kelso Shrug (Machine),F,160.0,5.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Tricep Press (Machine),F,230.0,7.0,"2x6-8(F), 3 mins",10.0
2026-04-19,Back & Triceps✝️,52m,Tricep Press (Machine),F,220.0,7.0,,10.0
2026-04-19,Back & Triceps✝️,52m,Arsenal Strength Reloaded Iso Multi Row,F,165.0,8.0,1x6-8(F),10.0
2026-04-20,Legs 🐓 ,58m,Romanian Deadlift (Barbell),W,135.0,8.0,1x6-8(F),
